No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
535,Análisis de las causas y monitoreo de la erosión litoral en el departamento de córdoba. Anexo No 6. Fichas técnicas de evaluación de las obras de defensa ( 2 ejemplares),CVS/ Universidad EAFIT,"2,006"
536,Análisis de las Causas y Monitoreo de la Erosión Litoral en el Departamento de Córdoba. Informe Final. Anexo No 10. -Análisis Granulométricos y Sedimentalógicos (Franja Litoral y Plataforma Somera) ,CVS/ Universidad EAFIT,"2,006"
538,Informe del Seminario: Establecimiento y Manejo de Plantaciones,CVS,"2,002"
539,Gestión de la Calidad del Aire del Municipio de Montería y las Principales Zonas que Presentan Afectación por la Actividad Industrial en el Departamento de Córdoba. Tomo I,CVS/Universidad de Medellín,"2,005"
540,Gestión de la Calidad del Aire del Municipio de Montería y las principales zonas que presentan afectación por la actividad industrial en el departamento de Córdoba. Tomo II,CVS/Universidad de Medellín,"2,005"
541,Gestión de la Calidad del Aire del Municipio de Montería y las Principales Zonas que Presentan Afectación por la Actividad industrial en el Departamento de Córdoba. Resumen Ejecutivo.,CVS/Universidad de Medellín,"2,005"
542,Plan de Manejo Integral de los Manglares de la Zona de Uso Sostenible  del Sector Estuarino de la Bahía de Cispatá. Informe Final,"CVS/ Ministerio de Ambiente, Vivienda y Desarrollo Territorial, CONIF, OIMT.","2,003"
543,EROSIÓN,CVS/Otros,"2,002"
544,"Delimitación y formulación de un Distrito de Manejo Integrado de los recursos naturales ( DMI) de los Manglares de la Bahía de Cispatá, Tinajones, La Balsa y sectores aledaños.",CVS/Instituto Nacional de Investigaciones Alexander von Humboldt,"2,006"
545,Plan de Manejo Integral de los Manglares de la zona de uso sostenible sector estuarino de la Bahía de Cispatá. ,"CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial, CONIF, OIMT","2,005"
546,"Rescate de Flora en la zona de Punta de Piedra, quebrada La Culebra.",CVS/Helena Botero Restrepo,"1,999"
547,"Dinámica fluviomarina en los manglares de la Bahía de Cispatá, caribe colombiano.",CVS/ Mauricio Andrés  Ruiz-Ochoa,"2,006"
548,"Diagnóstico de la dinámica hídrica, tenencia y ocupación del complejo lagunar del bajo Sinú.  Informe de avance.",CVS/ Universidad Nacional de Colombia,"2,005"
549,Protocolo para el control y vigilancia de la contaminación atmosférica generada por fuentes fijas.,CVS/,"2,006"
550,"Producción y Comercialización  de hongos comestibles y medicinales en desechos agroindustriales, como apoyo a la alimentación, salud y economía de las comunidades rurales y urbanas del departamento de córdoba",CVS/Universidad de Córdoba,"2,005"
551,Análisis de la Estabilidad de Taludes del río sinú en el tramo correspondiente al alto sinú después de la entrada en operaciones de la hidroeléctrica Urrá.,CVS/Universidad Los Andes.,"2,005"
552,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. I Tomo I. Informe de Diagnóstico del sistema de alcantarillado de la zona urbana del municipio Santa Cruz de Lorica. Versión 1",CVS/Consorcio PM Lorica.,"2,006"
553,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. II. Tomo I. Informe de análisis y evaluación de alternativas del sistema de alcantarillado de la zona urbana del municipio Santa Cruz de Lorica. Informe final.",CVS/Consorcio PM Lorica.,"2,006"
752,PAT 1998-2000,CVS,"1,998"
554,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo I. Versión 1",CVS/Consorcio PM Lorica.,"2,006"
555,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III Tomo II. Informe de Topografía. Parte 1",CVS/Consorcio PM Lorica,"2,006"
556,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo II. Informe de Topografía. Parte 2",CVS/Consorcio PM Lorica.,"2,006"
557,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo II. Informe de Topografía. Parte 3",CVS/Consorcio PM Lorica.,"2,006"
558,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo III. Informe de Geotecnia. Versión 0",CVS/Consorcio PM Lorica.,"2,006"
559,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo IV. Informe de Diseño estructural",CVS/Consorcio PM Lorica.,"2,006"
560,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo V. Plan de manejo Ambiental",CVS/Consorcio PM Lorica.,"2,006"
561,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo VI. Manual guía de costos y presupuestos. Informe Final",CVS/Consorcio PM Lorica.,"2,006"
562,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo VI. Manual guía de costos y presupuestos. Parte 2",CVS/Consorcio PM Lorica.,"2,006"
563,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo VII. Proyección Financiera para la ejecución de las obras. Versión 1",CVS/Consorcio PM Lorica.,"2,006"
564,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo VIII. Programas de construcción. Versión 0",CVS/Consorcio PM Lorica.,"2,006"
565,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo IX. Especificaciones Técnicas de Construcción. ",CVS/Consorcio PM Lorica.,"2,006"
566,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo X. Manual de Operación y Mantenimiento del Sistema de Alcantarillado. ",CVS/Consorcio PM Lorica.,"2,006"
567,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo XI. Fichas MGA ",CVS/Consorcio PM Lorica.,"2,006"
568,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Vol. III. Tomo XII. Modelo de Pliegos para Contratación. Versión 0",CVS/Consorcio PM Lorica.,"2,006"
569,"Elaboración del Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Santa Cruz de Lorica, y sus estudios y diseños detallados. Informe Ejecutivo. ",CVS/Consorcio PM Lorica.,"2,006"
570,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Anexos. Tomo I,CVS/AMSA Ingeniería Ltda.,"2,006"
571,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Anexos. Tomo II,CVS/AMSA Ingeniería Ltda.,"2,006"
572,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Anexos. Tomo III,CVS/AMSA Ingeniería Ltda.,"2,006"
573,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Informe de Alternativas.,CVS/AMSA Ingeniería Ltda.,"2,006"
574,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Informe de Diseños,CVS/AMSA Ingeniería Ltda.,"2,006"
575,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Informe de Diagnóstico,CVS/AMSA Ingeniería Ltda.,"2,006"
753,PAT 2001-2003,CVS,"2,001"
754,PAT 2004-2006,CVS,"2,004"
576,Plan  Maestro de Alcantarillado de la Cabecera municipal de Purísima y sus estudios y diseños detallados y formulación del Plan de Saneamiento y manejo de Vertimientos. Presupuestos y análisis de precios unitarios.,CVS/AMSA Ingeniería Ltda.,"2,006"
577,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Vol. I de 4. Diagnóstico y Alternativas de Solución. Municipio de Valencia,CVS/HIDROTEC Ltda.,"2,005"
578,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Vol. I de 4. Diagnóstico y Alternativas de Solución. Municipio de Tierralta,CVS/HIDROTEC Ltda.,"2,005"
579,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Vol. II de 4. Informes varios. Municipio de Tierralta,CVS/HIDROTEC Ltda.,"2,005"
580,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Modelación Hidráulica Red de Alcantarillado. Anexo al Vol. II de 4. Municipio de Tierralta.,CVS/HIDROTEC Ltda.,"2,005"
581,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Vol. III de 4.Cantidades de Obras. Presupuesto. especificaciones Técnicas y manual de operación y mantenimiento. Municipio de Tierralta,CVS/HIDROTEC Ltda.,"2,005"
582,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Vol. II de 4. Informes varios. Municipio de Valencia ,CVS/HIDROTEC Ltda.,"2,005"
583,Elaboración del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Tierralta y sus estudios y diseños detallados y elaboración del Plan Maestro de Acueducto de la Cabecera municipal de Valencia Córdoba y sus estudios y diseños detallados. Informe Final. Vol. III de 4. Cantidades de Obras. Presupuesto. Especificaciones técnicas . Manual de Operación y mantenimiento. Municipio de Valencia.,CVS/HIDROTEC Ltda.,"2,005"
584,Plan Maestro de Acueducto y Alcantarillado Municipio de San Pelayo Departamento de Córdoba. Informe Final de Diseño. Original ,CVS/Consorcio E.M.S. Ingenieros Consultores.,"2,005"
585,Plan Maestro de Acueducto y Alcantarillado Municipio de San Pelayo Departamento de Córdoba. Anexos. Original,CVS/Consorcio E.M.S. Ingenieros Consultores.,"2,005"
586,"Plan Maestro de Acueducto y Alcantarillado Municipio de San Pelayo Departamento de Córdoba. Informe Final Sistema Eléctrico Estaciones de Bombeo, Control, Supervisión e Instrumentación, presupuesto y análisis de precios unitarios.",CVS/Consorcio E.M.S. Ingenieros Consultores.,"2,005"
587,Plan Maestro de Acueducto y Alcantarillado Municipio de San Pelayo Departamento de Córdoba. Informe Ejecutivo,CVS/Consorcio E.M.S. Ingenieros Consultores.,"2,005"
589,Elaboración  del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Montelíbano y sus estudios y diseños detallados. Informe Final. Vol. II de 5. Alternativas de Solución.,CVS/HIDROTEC Ltda.,"2,005"
590,Elaboración  del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Montelíbano y sus estudios y diseños detallados. Informe Final. Vol. III de 5. Diseño de Obras.,CVS/HIDROTEC Ltda.,"2,005"
591,"Elaboración  del Plan Maestro de Acueducto y Alcantarillado de la Cabecera municipal de Montelíbano y sus estudios y diseños detallados. Informe Final. Vol. 4 de 5. Cantidades de obras, presupuesto y especificaciones técnicas. Informe Final.",CVS/HIDROTEC Ltda.,"2,005"
595,Plan Maestro de Alcantarillado para la Zona Urbana del municipio de Ciénaga de Oro  en el Departamento de córdoba y sus estudios y diseños detallados. Informe Final de Diseños,CVS/Consorcio Ciénaga de Oro,"2,006"
596,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Informe Diagnóstico del sistema de acueducto y alcantarillado. Anexo I.  Tomo I. Carteras levantamientos Topográficos.",CVS/Unión Temporal Chinú,"2,005"
597,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Informe Diagnóstico del sistema de acueducto y alcantarillado. Anexo I.  Tomo II. Registro de inspección de pozos.",CVS/Unión Temporal Chinú,"2,005"
598,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Diseño de las Redes de Alcantarillado.",CVS/Unión Temporal Chinú,"2,005"
755,PGAR 2002-2012,CVS,"2,002"
599,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Diseño del Sistema de Acueducto",CVS/Unión Temporal Chinú,"2,005"
600,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Planteamiento de alternativas para los sistemas de acueducto y alcantarillado. Revisión 2",CVS/Unión Temporal Chinú,"2,005"
601,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Informe diagnóstico del sistema de acueducto y alcantarillado. Revisión 3",CVS/Unión Temporal Chinú,"2,005"
602,"Elaboración del Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Chinú, en el departamento de córdoba y sus estudios y diseños detallados. Diseño de las Redes de Alcantarillado de los barrios Santo Domingo, 31 de Octubre, Piragua, Francisco de Paula, Costa Azul, San Francisco, Las Mercedes, Unión, Masinga, Camilo Torres",CVS/ Unión Temporal Chinú,"2,005"
603,Plan Maestro Alcantarillado de San Jerónimo de Ayapel y sus estudios y diseños detallados. Cartillas topográficas.,CVS/ Consorcio San Jerónimo de Ayapel,"2,005"
604,Plan Maestro Alcantarillado de San Jerónimo de Ayapel y sus estudios y diseños detallados. Anexo2-3-4-5-6-7-9,CVS/ Consorcio San Jerónimo de Ayapel,"2,005"
605,Plan Maestro Alcantarillado de San Jerónimo de Ayapel y sus estudios y diseños detallados. Informe Diagnóstico. Formulación de Alternativas y Selección,CVS/ Consorcio San Jerónimo de Ayapel,"2,005"
606,Plan Maestro Alcantarillado de San Jerónimo de Ayapel y sus estudios y diseños detallados. Resumen ejecutivo del Proyecto.,CVS/ Consorcio San Jerónimo de Ayapel,"2,005"
607,Plan Maestro Alcantarillado de San Jerónimo de Ayapel y sus estudios y diseños detallados. Informe Final de Diseños.,CVS/ Consorcio San Jerónimo de Ayapel,"2,005"
608,Plan Maestro Alcantarillado de San Jerónimo de Ayapel y sus estudios y diseños detallados. Anexo 1. Presupuesto Detallado y Análisis de Precios Unitarios ,CVS/ Consorcio San Jerónimo de Ayapel,"2,005"
